,0
0,HEPATIC ENCEPHALOPATHY
1,AC ALCOHOL INTOX-UNSPEC
2,"Pneumonia, unspecified organism"
3,FX LUMBAR VERTEBRA-CLOSE
4,IMPACTED CERUMEN
5,Unspecified atrial fibrillation
6,"Iron deficiency anemia, unspecified"
7,DIAB NEURO MANIF IDDM
8,"ALLERGY, UNSPECIFIED"
9,MAJOR DEPRESSION-UNSPEC
10,"Anorexia nervosa, unspecified"
11,Low back pain
12,"Gastrointestinal hemorrhage, unspecified"
13,"Acute pancreatitis, unspecified"
14,DEPRESSIVE DISORDER
15,Epistaxis
16,"Unsp intestnl obst, unsp as to partial versus complete obst"
17,Dissection of thoracic aorta
18,ABDOMINAL PAIN GENERALIZED
19,UNSPECIFIED CONSTIPATION
20,"Conjunctival hemorrhage, right eye"
21,PYELONEPHRITIS NOS
22,Cutaneous abscess of groin
23,"Superficial foreign body of left thumb, initial encounter"
24,"Traum subrac hem w/o loss of consciousness, init"
25,"MIGRAINE, UNSPECIFIED, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS"
26,"Unsp superficial injury of unsp part of head, init encntr"
27,Unspecified jaundice
28,"Poisoning by benzodiazepines, intentional self-harm, init"
29,ABDOMINAL PAIN RUQ
30,ALCOHOL ABUSE-UNSPEC
31,CHEST PAIN NEC
32,Shortness of breath
33,Unspecified abdominal pain
34,REGIONAL ENTERITIS NOS
35,MYALGIA AND MYOSITIS NOS
36,Other chest pain
37,PAIN IN THORACIC SPINE
38,Hyperkalemia
39,"Anemia, unspecified"
40,Right lower quadrant pain
41,MALFUNC GU DEV/GRAFT NEC
42,CHEST PAIN NOS
43,ATRIAL FIBRILLATION
44,COSTOCHONDRITIS/TIETZE'S DISEASE
45,Pain in left ankle and joints of left foot
46,JOINT PAIN-FOREARM
47,"Foreign body in left ear, initial encounter"
48,Right upper quadrant pain
49,ACUTE APPENDICITIS NOS
50,Encounter for adjustment and management of VAD
51,PLEURAL EFFUSION NOS
52,LUMBAGO
53,ECZEMA HERPETICUM
54,"Other bursitis, not elsewhere classified, right knee"
55,Suicidal ideations
56,Other specified follicular disorders
57,Dvtrcli of lg int w/o perforation or abscess w/o bleeding
58,Syncope and collapse
59,OTHER DYSPHAGIA
60,"Urinary tract infection, site not specified"
61,"Alcohol abuse with intoxication, unspecified"
62,NIDDM UNCONTROLLED
63,"FX PHALANX, FOOT-CLOSED"
64,Dysuria
65,Enterocolitis due to Clostridium difficile
66,"Otalgia, right ear"
67,Left lower quadrant pain
68,PERIAPICAL ABSCESS
69,"Acute kidney failure, unspecified"
70,Palpitations
71,Periapical abscess without sinus
72,GOUT NOS
73,OTHER INJURY CHEST WALL
74,"PNEUMONIA,ORGANISM UNSPECIFIED"
75,"Chest pain, unspecified"
76,"Cardiac arrest, cause unspecified"
77,"Dyspnea, unspecified"
78,SPRAIN OF HAND NEC
79,Cellulitis of right upper limb
80,ORBITAL DISORDERS NEC
81,ABDOMINAL PAIN UNSPEC SITE
82,"CONGESTIVE HEART FAILURE, UNSPEC"
83,INTESTINAL OBSTRUCT NOS
84,"Dislocation of proximal interphaln joint of l idx fngr, init"
85,MULTIPLE CONTUSIONS NEC
86,"Diarrhea, unspecified"
87,CONDUCTION DISORDER NOS
88,ABDOMINAL PAIN OTHER SPECIED
89,Other dorsalgia
90,VERTIGO/DIZZINESS
91,"Abnormal uterine and vaginal bleeding, unspecified"
92,ENCOUNTER FOR REMOVAL OF SUTURES 
93,GASTROINTEST HEMORR NOS
94,CHOLANGITIS
95,FX C2 VERTEBRA-CLOSED
96,SPRAIN OF ANKLE NOS
97,FEM GENITAL SYMPTOMS NOS
98,SPASM OF MUSCLE
99,Headache
100,INT HEMORRHOID W/O COMPL
101,CONVERSION DISORDER
102,"Displaced intertrochanteric fracture of left femur, init"
103,Cervicalgia
104,INFEC OTITIS EXTERNA NOS
105,Other ascites
106,CONTUSION OF FOOT
107,OTHER GASTROSTOMY COMPLICATION
108,UNSPEC VIRAL INFECTION
109,"EPILEPSY, NOS WITHOUT INTRACTABLE EPILEPSY"
110,"Pyogenic arthritis, unspecified"
111,SWELLING OF LIMB
112,Localized enlarged lymph nodes
113,"Contusion of right front wall of thorax, initial encounter"
114,ALTERED MENTAL STATUS 
115,REMOVAL VASCULAR CATHETER
116,"Acute pancreatitis without necrosis or infection, unsp"
117,"Other specified injuries of head, initial encounter"
118,Left upper quadrant pain
119,CEREBRAL ART OCCLUS W/INFARCT
120,CONTUSION SHOULDER REG
121,FX UPPER END TIBIA-CLOSE
122,Other specified abnormal uterine and vaginal bleeding
123,"Mech compl of other urinary catheter, initial encounter"
124,Chronic obstructive pulmonary disease w (acute) exacerbation
125,"Unsp intracranial injury w LOC of 30 minutes or less, init"
126,Weakness
127,"Oth fracture of left pubis, init encntr for closed fracture"
128,"Unil inguinal hernia, w/o obst or gangr, not spcf as recur"
129,Dizziness and giddiness
130,GASTROPARESIS
131,Cough
132,DIVERTICULITIS OF COLON
133,Cellulitis of right finger
134,OBSERVATION FOR OTHER SPECIFIED CONDITIONS NOT FOUND
135,FRACTURE SIX RIBS-CLOSED
136,UNSPECIFIED EPISODIC MOOD DISORDER
137,EPISTAXIS
138,RESPIRATORY FAILURE
139,ACUTE URI NOS
140,"Laceration without foreign body, right knee, init encntr"
141,Unspecified intestinal obstruction
142,"Laceration without foreign body of lip, initial encounter"
143,OTHER ASCITES
144,PAINFUL RESPIRATION
145,ALCOHOL WITHDRAWAL
146,ALLERGIC URTICARIA
147,PSYCHOSIS NOS
148,"Viral infection, unspecified"
149,DERMATOPHYTOSIS OF BODY
150,HEADACHE
151,"Laceration w/o fb of r idx fngr w/o damage to nail, init"
152,"Tachycardia, unspecified"
153,CONTUSION OF ELBOW
154,INJURY-SITE NOS
155,Rash and other nonspecific skin eruption
156,"Altered mental status, unspecified"
157,ACUTE PHARYNGITIS
158,HEMATEMESIS
159,Unstable angina
160,PSYCHOPHYSIC VISUAL DIST
161,"Migraine, unsp, not intractable, without status migrainosus"
162,"Laceration without foreign body of right hand, init encntr"
163,Abn lev hormones in specimens from female genital organs
164,NONINFLAM DIS VAGINA NEC
165,DEHYDRATION
166,OPEN WOUND OF FOREARM
167,"Abrasion of left forearm, initial encounter"
168,SHORTNESS OF BREATH
169,Type 1 diabetes mellitus with foot ulcer
170,"Other pneumonia, unspecified organism"
171,"Sepsis, unspecified organism"
172,Other pulmonary embolism without acute cor pulmonale
173,JOINT PAIN-SHLDER
174,SUBARACHNOID HEMORRHAGE
175,PANCREATIC DISEASE NEC
176,"Laceration without foreign body of nose, initial encounter"
177,CELLULITIS OF HAND
178,NAUSEA
179,RENAL COLIC
180,"Nausea with vomiting, unspecified"
181,PALPITATIONS
182,"Strain of muscle, fascia and tendon at neck level, init"
183,"Difficulty in walking, not elsewhere classified"
184,Oth diabetes mellitus with ketoacidosis without coma
185,HEAD INJURY UNSPECIFIED
186,CERVICALGIA
187,CALCULUS OF URETER
188,Babesiosis
189,Peritonsillar abscess
190,RETENTION URINE UNSPECIFIED
191,"Viral meningitis, unspecified"
192,"Heart failure, unspecified"
193,CHOLELITH W AC CHOLECYST
194,IDDM W SPEC MANIFESTATION
195,"Alcohol abuse, uncomplicated"
196,SPRAIN OF NECK
197,"Oth intartic fracture of lower end of left radius, init"
198,"Major depressive disorder, single episode, unspecified"
199,SYNCOPE AND COLLAPSE
200,"Superficial foreign body, left foot, initial encounter"
201,"Other specified injuries of lower back, initial encounter"
202,"CONTUSION OF FACE, SCALP, & NECK EXCEPT EYE(S)"
203,"Sprain of unspecified ligament of right ankle, init encntr"
204,"Lower abdominal pain, unspecified"
205,HYPERKALEMIA
206,ESOPHAGEAL STRICTURE
207,"Noninfective gastroenteritis and colitis, unspecified"
208,ANEMIA NOS
209,OPEN WOUND OF CHEEK
210,NONINF GASTROENTERIT NEC
211,CELLULITIS OF FACE
212,RESPIRATORY ABNORM NEC
213,"Acute tonsillitis, unspecified"
214,ABN INVOLUN MOVEMENT NEC
215,SHLDR/UPPER ARM INJ NOS
216,MAJ DEPRESSION-SEV W/PSYCH
217,"Oth pregnancy related conditions, third trimester"
218,"HEMATURIA, UNSPECIFIED"
219,"OTHER ADVERSE FOOD REACTIONS, NOT ELSEWHERE CLASSIFIED"
220,SKIN SENSATION DISTURB
221,Non-ST elevation (NSTEMI) myocardial infarction
222,"ACUTE MYELOID LEUKEMIA, WITHOUT MENTION OF HAVING ACHIEVED REMISSION"
223,CALCULUS OF KIDNEY
224,"Infectious gastroenteritis and colitis, unspecified"
225,Unspecified lump in breast
226,URIN TRACT INFECTION NOS
227,NAUSEA WITH VOMITING
228,Auditory hallucinations
229,Restlessness and agitation
230,Nontraumatic hematoma of soft tissue
231,OPEN WOUND OF PALATE
232,"Pleural effusion, not elsewhere classified"
233,Cellulitis of left lower limb
234,HIP & THIGH INJURY NOS
235,"Unsp intracranial injury w LOC of unsp duration, init"
236,PAIN IN LIMB
237,OTHER MALAISE AND FATIGUE
238,Type 2 diabetes mellitus with foot ulcer
239,"Cerebral infarction, unspecified"
240,VENEREAL DIS CONTACT
241,CELLULITIS OF LEG
242,BACKACHE NOS
243,DIS OF BILIARY TRACT NEC
244,Cutaneous abscess of right upper limb
245,"Postproc hematoma of skin, subcu following other procedure"
246,"Fever, unspecified"
247,AC APICAL PERIODONTITIS
248,OTHER SPEECH DISTURBANCE
249,"Laceration without foreign body of left elbow, init encntr"
250,FEM PELV INFLAM DIS NOS
251,"Periprosth fracture around internal prosth l hip jt, init"
252,Pain in right wrist
253,HERPES SIMPLEX NOS
254,"Constipation, unspecified"
255,"Other intervertebral disc displacement, lumbosacral region"
256,"ACUTE KIDNEY FAILURE, UNSPECIFIED"
257,Calculus of gallbladder w/o cholecystitis w/o obstruction
258,"Strain of muscle, fascia and tendon of lower back, init"
259,CYSTITIS NOS
260,"Other synovitis and tenosynovitis, right ankle and foot"
261,OPIOID ABUSE-UNSPEC
262,INTUSSUSCEPTION
263,Unspecified asthma with (acute) exacerbation
264,"Acute respiratory failure, unsp w hypoxia or hypercapnia"
265,Flu due to ident novel influenza A virus w oth resp manifest
266,"Nontraumatic subarachnoid hemorrhage, unspecified"
267,POISONING-HEROIN
268,Other specified diseases of intestine
269,"Acute upper respiratory infection, unspecified"
270,"FEVER, UNSPECIFIED"
271,OTH CURR COND-ANTEPARTUM
272,"OBSTRUCTIVE CHR. BRONCHITIS,WITH ACUTE EXACERBATION"
273,DIARRHEA
274,OPEN WND FINGER W TENDON
275,POSTCONCUSSION SYNDROME
276,FLU W RESP MANIFEST NEC
277,SPECIAL SYMPTOM NEC/NOS
278,Pain in left knee
279,FRACTURE ONE RIB-CLOSED
280,"Burn second degree of single l finger except thumb, init"
281,"Elevated white blood cell count, unspecified"
282,Perforation of intestine (nontraumatic)
283,"Urinary tract infection following delivery, unspecified"
284,MAL NEO BRONCH/LUNG NOS
285,ABCESS OF ANAL & RECTAL REGIONS
286,"Lumbago with sciatica, left side"
287,"Laceration w/o fb of l mid finger w/o damage to nail, init"
288,ABDOMINAL PAIN PERIUMBILIC
289,PERITONEAL ABSCESS
290,ABDOMINAL PAIN LLQ
291,Pain in left shoulder
292,TRANSIENT GLOBAL AMNESIA
293,"Primary osteoarthritis, left ankle and foot"
294,Oth symptoms and signs involving the circ and resp systems
295,Pain in left foot
296,BRAIN HEM NEC-BRIEF COMA
297,Threatened abortion
298,FX SYMPHY MANDIB BODY-CL
299,"Multiple fractures of ribs, left side, init for clos fx"
300,OPEN WOUND OF NOSE NOS
301,ADULT PHYSICAL ABUSE
302,Bell's palsy
303,Other cholangitis
304,Mastitis without abscess
305,"Anal fissure, unspecified"
306,"Retention of urine, unspecified"
307,"Other specified injuries of left lower leg, init encntr"
308,"Fracture of unsp part of neck of left femur, init"
309,Cellulitis of left upper limb
310,"Alcohol dependence with intoxication, unspecified"
311,Pain in left leg
312,"Other specified injuries of right lower leg, init encntr"
313,Other cytomegaloviral diseases
314,"Acute pharyngitis, unspecified"
315,"Vomiting, unspecified"
316,HYPOSMOLALITY/HYPONATREMIA
317,"Unspecified ovarian cyst, unspecified side"
318,Diseases of lips
319,JOINT PAIN-L/LEG
320,HYPERTENSION NOS
321,"Hypotension, unspecified"
322,ANXIETY STATE NOS
323,MUSCSKEL SYMPT LIMB NEC
324,"Epilepsy, unsp, not intractable, without status epilepticus"
325,COMP D/TO GRAFT/IMPLANT
326,NONSPECIF SKIN ERUPT NEC
327,DIPLOPIA
328,"Contusion of right thigh, initial encounter"
329,Dehydration
330,Nontraumatic intracerebral hemorrhage in cerebellum
